Kernel,Implementation,Mean Time (ms),Stddev (ms),Performance (TFLOPS)
fma,torch,0.3134,0.0111,N/A
fma,triton,0.1796,0.0251,N/A
fma,tilelang,0.2220,0.0278,N/A
matmul,torch,0.0717,0.0017,29.95
matmul,triton,0.4429,0.0078,4.85
matmul,tilelang,0.1666,0.0166,12.89
conv2d,torch,0.0463,0.0026,N/A
conv2d,triton,0.2671,0.0215,N/A
conv2d,tilelang,N/A,N/A,N/A
rmsnorm,torch,0.2454,0.0052,N/A
rmsnorm,triton,0.1011,0.0221,N/A
rmsnorm,tilelang,0.4464,0.0241,N/A
multihead_attention,torch,9.3054,0.9692,7.38
multihead_attention,triton,24.4108,0.0674,2.82
multihead_attention,tilelang,N/A,N/A,N/A
