impl,m,n,k,mean_ms,stddev_ms,tflops,status
torch,128,128,128,0.0317,0.0034,0.13,OK
triton,128,128,128,0.0642,0.0057,0.07,OK
tilelang,128,128,128,0.1236,0.0074,0.03,OK
torch,256,256,256,0.0511,0.0043,0.66,OK
triton,256,256,256,0.0690,0.0036,0.49,OK
tilelang,256,256,256,0.0971,0.0098,0.35,OK
torch,384,384,384,0.0315,0.0060,3.59,OK
triton,384,384,384,0.0895,0.0067,1.27,OK
tilelang,384,384,384,0.1062,0.0093,1.07,OK
torch,512,512,512,0.0307,0.0047,8.76,OK
triton,512,512,512,0.1003,0.0031,2.68,OK
tilelang,512,512,512,0.1139,0.0050,2.36,OK
torch,640,640,640,0.0379,0.0021,13.85,OK
triton,640,640,640,0.1690,0.0029,3.10,OK
tilelang,640,640,640,0.1267,0.0063,4.14,OK
torch,768,768,768,0.0578,0.0026,15.67,OK
triton,768,768,768,0.2547,0.0125,3.56,OK
tilelang,768,768,768,0.1191,0.0069,7.60,OK
torch,896,896,896,0.0648,0.0025,22.21,OK
triton,896,896,896,0.3036,0.0055,4.74,OK
tilelang,896,896,896,0.1696,0.0282,8.48,OK
torch,1024,1024,1024,0.0719,0.0022,29.89,OK
triton,1024,1024,1024,0.4367,0.0042,4.92,OK
tilelang,1024,1024,1024,0.1462,0.0100,14.69,OK
torch,1152,1152,1152,0.1405,0.0094,21.77,OK
triton,1152,1152,1152,0.5981,0.0293,5.11,OK
tilelang,1152,1152,1152,0.3032,0.0095,10.08,OK
torch,1280,1280,1280,0.1562,0.0447,26.86,OK
triton,1280,1280,1280,0.7795,0.0121,5.38,OK
tilelang,1280,1280,1280,0.3096,0.0119,13.55,OK
torch,1408,1408,1408,0.1715,0.0513,32.56,OK
triton,1408,1408,1408,1.1152,0.0164,5.01,OK
tilelang,1408,1408,1408,0.3127,0.0079,17.85,OK
torch,1536,1536,1536,0.2215,0.0051,32.72,OK
triton,1536,1536,1536,1.3535,0.0094,5.35,OK
tilelang,1536,1536,1536,0.4808,0.0111,15.08,OK
torch,1664,1664,1664,0.2691,0.0070,34.25,OK
triton,1664,1664,1664,1.6556,0.2202,5.57,OK
tilelang,1664,1664,1664,0.4930,0.0452,18.69,OK
torch,1792,1792,1792,0.3034,0.0037,37.93,OK
triton,1792,1792,1792,2.0820,0.0428,5.53,OK
tilelang,1792,1792,1792,0.5122,0.0532,22.47,OK
torch,1920,1920,1920,0.4319,0.2271,32.78,OK
triton,1920,1920,1920,2.5847,0.0240,5.48,OK
tilelang,1920,1920,1920,0.7269,0.0142,19.47,OK
torch,2048,2048,2048,0.4387,0.0535,39.16,OK
triton,2048,2048,2048,3.1228,0.0270,5.50,OK
tilelang,2048,2048,2048,0.7200,0.0091,23.86,OK
