impl,hidden,batch,mean_ms,stddev_ms,tflops,status
torch,128,512,0.0751,0.0054,N/A,OK
triton,128,512,0.0542,0.0066,N/A,OK
tilelang,128,512,0.0960,0.0096,N/A,OK
torch,256,1024,0.0779,0.0476,N/A,OK
triton,256,1024,0.0500,0.0034,N/A,OK
tilelang,256,1024,0.1543,0.0074,N/A,OK
torch,384,1536,0.1217,0.0058,N/A,OK
triton,384,1536,0.0522,0.0044,N/A,OK
tilelang,384,1536,0.1791,0.0048,N/A,OK
torch,512,2048,0.1261,0.0082,N/A,OK
triton,512,2048,0.0520,0.0043,N/A,OK
tilelang,512,2048,0.2445,0.0073,N/A,OK
torch,640,2560,0.1161,0.0401,N/A,OK
triton,640,2560,0.0600,0.0030,N/A,OK
tilelang,640,2560,0.2729,0.0080,N/A,OK
torch,768,3072,0.1504,0.0016,N/A,OK
triton,768,3072,0.0791,0.0384,N/A,OK
tilelang,768,3072,0.3402,0.0453,N/A,OK
torch,896,3584,0.1972,0.0156,N/A,OK
triton,896,3584,0.1207,0.0528,N/A,OK
tilelang,896,3584,0.3786,0.0396,N/A,OK
torch,1024,4096,0.2475,0.0102,N/A,OK
triton,1024,4096,0.1068,0.0383,N/A,OK
tilelang,1024,4096,0.4522,0.0387,N/A,OK
torch,1152,4608,0.3119,0.0164,N/A,OK
triton,1152,4608,0.1221,0.0499,N/A,OK
tilelang,1152,4608,0.4986,0.2616,N/A,OK
torch,1280,5120,0.3951,0.2087,N/A,OK
triton,1280,5120,0.1442,0.0473,N/A,OK
tilelang,1280,5120,0.5643,0.0557,N/A,OK
torch,1408,5632,0.4356,0.0020,N/A,OK
triton,1408,5632,0.1627,0.0501,N/A,OK
tilelang,1408,5632,0.6037,0.2245,N/A,OK
torch,1536,6144,0.5123,0.0029,N/A,OK
triton,1536,6144,0.1832,0.0410,N/A,OK
tilelang,1536,6144,0.6842,0.0506,N/A,OK
torch,1664,6656,0.6091,0.0730,N/A,OK
triton,1664,6656,0.2090,0.0413,N/A,OK
tilelang,1664,6656,0.6774,0.0424,N/A,OK
torch,1792,7168,0.6863,0.0024,N/A,OK
triton,1792,7168,0.2350,0.0409,N/A,OK
tilelang,1792,7168,0.7350,0.0467,N/A,OK
torch,1920,7680,0.7829,0.0034,N/A,OK
triton,1920,7680,0.2664,0.0430,N/A,OK
tilelang,1920,7680,0.9515,0.0425,N/A,OK
torch,2048,8192,0.8860,0.0043,N/A,OK
triton,2048,8192,0.2983,0.0434,N/A,OK
tilelang,2048,8192,1.0424,0.0403,N/A,OK
